candidate,segment_type,segment_value,rows,acceptance_rate,pr_auc,roc_auc,brier,log_loss,precision_05,recall_05,f1_05,lift_top10,calibration_mae
baseline_33,canal,call in,33189,0.46102624363493927,0.5782434899349994,0.5906766740168864,0.23623108158255507,0.6645223550833119,0.7582808650424309,0.18103391935167637,0.29228658858288487,1.6906882261524043,0.012523799184020589
baseline_33,canal,call out,24851,0.4625970785883868,0.5833128503348751,0.5908067839656175,0.23604406002776315,0.6640230725993002,0.7612156295224313,0.18302018093249825,0.29509116409537167,1.7069322723605707,0.012705600100287956
baseline_33,canal,digital,57838,0.46019917701165325,0.5769955133087306,0.5911235894784275,0.23652904321044096,0.665203916442864,0.7549679487179487,0.17699214787541798,0.286757768512037,1.6755629039584152,0.008654172450154563
baseline_33,canal,tienda,49862,0.46404075247683607,0.5783051128224329,0.588313965248292,0.23697830551548466,0.6660915479215365,0.7546686195532772,0.17814850030253263,0.28825174825174826,1.670576466225099,0.009044539845059919
baseline_33,tipo_oferta,equipo,23446,0.42855924251471467,0.4483363386798854,0.5288089554078326,0.2441796212897219,0.6814212593266383,0.47572815533980584,0.004876592356687898,0.009654221258989262,1.0607266782556735,0.013319932800929862
baseline_33,tipo_oferta,movistar_total,17598,0.766109785202864,0.7941423757295027,0.5644432831941346,0.1770713990498426,0.5383987349988923,0.766109785202864,1.0,0.8675675675675676,1.0383035967148115,0.017309781709172488
baseline_33,tipo_oferta,paquete_adicional,23143,0.4224603551829927,0.4481965848880958,0.538160928094992,0.24269590462039753,0.6783688785902229,0.44680851063829785,0.0021478981282602025,0.004275244299674267,1.0777143253516706,0.006690378349538784
baseline_33,tipo_oferta,plan_hogar,46863,0.42451400891961677,0.44241717160509747,0.5303589837440299,0.24354037249776225,0.6801179356226285,0.4090909090909091,0.0031667839549612948,0.006284916201117319,1.0569447665114975,0.009762959217192063
baseline_33,tipo_oferta,plan_movil,31031,0.4282169443459766,0.45120871379607785,0.5356106955103137,0.24360649934546358,0.6802083324753005,0.4925373134328358,0.004966887417218543,0.009834599910594547,1.0419915874411143,0.009447014080972338
baseline_33,tipo_oferta,upgrade,23659,0.4253349676655818,0.4396456643053248,0.5229227315397549,0.24398953522094846,0.6810281236607875,0.3132530120481928,0.002583722547947928,0.005125172481766214,1.0543129845792303,0.016056286882159303
baseline_33,oferta_es_mt,False,148142,0.425740168216981,0.44553705319946624,0.531363704597669,0.24359520522696337,0.6802152648350958,0.43186180422264875,0.003567464721737752,0.00707647308581403,1.0574979902492776,0.009023519263766672
baseline_33,oferta_es_mt,True,17598,0.766109785202864,0.7941423757295027,0.5644432831941346,0.1770713990498426,0.5383987349988923,0.766109785202864,1.0,0.8675675675675676,1.0383035967148115,0.017309781709172488
sin_facturacion_redundante,canal,call in,33189,0.46102624363493927,0.5782571298899126,0.5906722495337742,0.2362282988752554,0.6645156675384296,0.7587057855771867,0.18083785373504999,0.29206248680599534,1.691995290880779,0.012820718901838769
sin_facturacion_redundante,canal,call out,24851,0.4625970785883868,0.5832600096175825,0.5907828080517386,0.23604571911779262,0.664026609105099,0.761680550525172,0.18293319415448853,0.29501297608192467,1.7086713780889053,0.012872700884073673
sin_facturacion_redundante,canal,digital,57838,0.46019917701165325,0.5770312995863265,0.5911937619734888,0.23652599652223194,0.6651983543763264,0.7553737568174527,0.17691700792726453,0.28668838087120635,1.6755629039584152,0.008913990379036535
sin_facturacion_redundante,canal,tienda,49862,0.46404075247683607,0.5782441664751758,0.5882671139947375,0.23698175097341861,0.6660989555047071,0.7549450549450549,0.17814850030253263,0.28827190712637246,1.6710085863663886,0.009120393802225363
sin_facturacion_redundante,tipo_oferta,equipo,23446,0.42855924251471467,0.4484438277484958,0.5288708541440257,0.24417613039945088,0.6814139401817855,0.4895833333333333,0.004677547770700637,0.009266561514195583,1.0657019441011504,0.013848065348611504
sin_facturacion_redundante,tipo_oferta,movistar_total,17598,0.766109785202864,0.794045252477414,0.5642817281192257,0.17707293875968427,0.5384038201835204,0.766109785202864,1.0,0.8675675675675676,1.0405285329934861,0.016598802911089706
sin_facturacion_redundante,tipo_oferta,paquete_adicional,23143,0.4224603551829927,0.44838676088593077,0.5382741288139854,0.24269011240528116,0.6783571202065475,0.44680851063829785,0.0021478981282602025,0.004275244299674267,1.0787368247115867,0.006932591344318473
sin_facturacion_redundante,tipo_oferta,plan_hogar,46863,0.42451400891961677,0.44241699147487584,0.5303766363521316,0.243540048852078,0.6801172592442494,0.41830065359477125,0.0032170503669448074,0.00638499526113633,1.052421465085628,0.00965679613337177
sin_facturacion_redundante,tipo_oferta,plan_movil,31031,0.4282169443459766,0.451232452993507,0.5356297310930431,0.24360529503073036,0.6802057834623503,0.4881889763779528,0.004665863937387116,0.009243384271338055,1.0450009494265038,0.008799533549271288
sin_facturacion_redundante,tipo_oferta,upgrade,23659,0.4253349676655818,0.4394891966762391,0.5228019347484194,0.24399738833294593,0.6810441271390212,0.30864197530864196,0.0024843486037960847,0.004929022082018927,1.0543129845792303,0.015771036928924793
sin_facturacion_redundante,oferta_es_mt,False,148142,0.425740168216981,0.44554653628289903,0.5313734487198026,0.2435946473975216,0.680214077473018,0.43452380952380953,0.0034723323291580782,0.0068896089596375875,1.059241989933347,0.008892818166026172
sin_facturacion_redundante,oferta_es_mt,True,17598,0.766109785202864,0.794045252477414,0.5642817281192257,0.17707293875968427,0.5384038201835204,0.766109785202864,1.0,0.8675675675675676,1.0405285329934861,0.016598802911089706
generalizable_sin_oferta_id,canal,call in,33189,0.46102624363493927,0.5785835485140423,0.5908312276788298,0.23621673296005002,0.6644908158283072,0.7606060606060606,0.18044572250179727,0.2916908773968623,1.6913417585165917,0.009822991843315126
